Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
58:00.0,6673.885713,297.952811,5425.992,10680,0.123611111,0.000338429
59:00.0,6674.054291,297.511934,5426.197,10740,0.124305556,0.00034033
00:00.0,6674.132407,296.982027,5426.293,10800,0.125,0.000342231
01:00.0,6674.118959,296.43534,5426.276,10860,0.125694444,0.000344133
02:00.0,6674.012514,296.404638,5426.146,10920,0.126388889,0.000346034
03:00.0,6673.810484,296.779761,5425.9,10980,0.127083333,0.000347935
04:00.0,6673.511089,297.119665,5425.535,11040,0.127777778,0.000349836
05:00.0,6673.116722,297.373886,5425.054,11100,0.128472222,0.000351738
06:00.0,6672.635814,297.535922,5424.468,11160,0.129166667,0.000353639
07:00.0,6672.081939,297.609326,5423.792,11220,0.129861111,0.00035554
08:00.0,6671.471224,297.601749,5423.047,11280,0.130555556,0.000357442
09:00.0,6670.819814,297.52197,5422.253,11340,0.13125,0.000359343
10:00.0,6670.142298,297.378167,5421.427,11400,0.131944444,0.000361244
11:00.0,6669.451293,297.177253,5420.585,11460,0.132638889,0.000363145
12:00.0,6668.758093,296.925131,5419.74,11520,0.133333333,0.000365047
13:00.0,6668.073827,296.627569,5418.906,11580,0.134027778,0.000366948
14:00.0,6667.410155,296.291015,5418.097,11640,0.134722222,0.000368849
15:00.0,6666.778767,295.922731,5417.327,11700,0.135416667,0.000370751
16:00.0,6666.190066,295.530139,5416.609,11760,0.136111111,0.000372652
17:00.0,6665.652221,295.119975,5415.954,11820,0.136805556,0.000374553
18:00.0,6665.171528,294.698002,5415.368,11880,0.1375,0.000376454
19:00.0,6664.753972,294.269677,5414.859,11940,0.138194444,0.000378356
20:00.0,6664.406794,293.841572,5414.436,12000,0.138888889,0.000380257
21:00.0,6664.138676,293.422773,5414.109,12060,0.139583333,0.000382158
22:00.0,6663.958117,293.025438,5413.889,12120,0.140277778,0.00038406
23:00.0,6663.871158,292.664414,5413.783,12180,0.140972222,0.000385961
24:00.0,6663.880123,292.356717,5413.794,12240,0.141666667,0.000387862
25:00.0,6663.983943,292.121797,5413.921,12300,0.142361111,0.000389763
26:00.0,6664.179045,291.982539,5414.159,12360,0.143055556,0.000391665
27:00.0,6664.459901,291.965879,5414.501,12420,0.14375,0.000393566
28:00.0,6664.819577,292.102012,5414.939,12480,0.144444444,0.000395467
29:00.0,6665.250838,292.421679,5415.465,12540,0.145138889,0.000397369
30:00.0,6665.746737,292.950387,5416.069,12600,0.145833333,0.00039927
31:00.0,6666.299134,293.698337,5416.742,12660,0.146527778,0.000401171
32:00.0,6666.896115,294.649968,5417.47,12720,0.147222222,0.000403072
33:00.0,6667.521763,295.763558,5418.233,12780,0.147916667,0.000404974
34:00.0,6668.159851,296.985438,5419.01,12840,0.148611111,0.000406875
35:00.0,6668.79803,298.26771,5419.788,12900,0.149305556,0.000408776
36:00.0,6669.427625,299.574054,5420.556,12960,0.15,0.000410678
37:00.0,6670.039097,300.871928,5421.301,13020,0.150694444,0.000412579
38:00.0,6670.618642,302.124086,5422.008,13080,0.151388889,0.00041448
39:00.0,6671.15007,303.290552,5422.656,13140,0.152083333,0.000416381
