Time (UTCG),Apogee Altitude (km),Earth_gravity (m/sec^2),Drag (m/sec^2),SRP (m/sec^2),SUN_Gravity (m/sec^2),Moon_Gravity (m/sec^2)
19:00.0,501.428659,8.435666,0.000019,0.000002,0,0.000001
20:00.0,501.233778,8.435453,0.00002,0.000002,0,0.000001
21:00.0,500.990077,8.435295,0.000021,0.000002,0,0.000001
22:00.0,500.70353,8.435205,0.000022,0.000002,0,0.000001
23:00.0,500.380328,8.435195,0.000023,0.000002,0,0.000001
24:00.0,500.0264,8.435267,0.000024,0.000002,0,0.000001
25:00.0,499.647254,8.435419,0.000025,0.000002,0,0.000001
26:00.0,499.248304,8.435648,0.000026,0.000002,0,0.000001
27:00.0,498.835515,8.435957,0.000027,0.000002,0.000001,0.000001
28:00.0,498.416034,8.436359,0.000027,0.000002,0.000001,0.000001
29:00.0,497.998514,8.436874,0.000028,0.000002,0.000001,0.000001
30:00.0,497.593053,8.437519,0.000029,0.000002,0.000001,0.000001
31:00.0,497.211011,8.438305,0.00003,0.000002,0.000001,0.000001
32:00.0,496.865068,8.439233,0.00003,0.000002,0.000001,0.000001
33:00.0,496.569676,8.440298,0.000031,0.000002,0,0.000001
34:00.0,496.34177,8.441491,0.000032,0.000002,0,0.000001
35:00.0,496.201471,8.442796,0.000032,0.000002,0,0.000001
36:00.0,496.172612,8.444199,0.000033,0.000002,0,0.000001
37:00.0,496.282632,8.445688,0.000033,0.000002,0,0.000001
38:00.0,496.560275,8.44726,0.000034,0.000002,0,0.000001
39:00.0,497.029039,8.448911,0.000034,0.000002,0,0.000001
40:00.0,497.697404,8.450623,0.000034,0.000002,0,0.000001
41:00.0,498.552522,8.452363,0.000035,0.000002,0,0.000001
42:00.0,499.563904,8.454095,0.000035,0.000002,0,0.000001
43:00.0,500.694127,8.4558,0.000035,0.000002,0,0.000001
44:00.0,501.906846,8.457481,0.000035,0.000002,0,0.000001
45:00.0,503.167328,8.45914,0.000035,0.000002,0,0.000001
46:00.0,504.439708,8.460756,0.000035,0.000002,0,0.000001
47:00.0,505.687325,8.462287,0.000035,0.000002,0,0.000001
48:00.0,506.876982,8.463696,0.000035,0.000002,0,0.000001
49:00.0,507.982586,8.464966,0.000034,0.000002,0,0.000001
50:00.0,508.984502,8.466095,0.000034,0.000002,0,0.000001
51:00.0,509.866319,8.46708,0.000033,0.000002,0,0.000001
52:00.0,510.613213,8.46791,0.000033,0.000002,0,0.000001
53:00.0,511.21315,8.468576,0.000032,0.000002,0,0.000001
54:00.0,511.658058,8.46908,0.000031,0.000002,0,0.000001
55:00.0,511.942365,8.469431,0.00003,0.000002,0,0.000001
56:00.0,512.060243,8.469623,0.000029,0.000002,0,0.000001
57:00.0,512.004951,8.469639,0.000028,0.000002,0,0.000001
58:00.0,511.77129,8.469458,0.000028,0.000002,0,0.000001
59:00.0,511.358771,8.46907,0.000027,0.000002,0,0.000001
00:00.0,510.772823,8.468481,0.000026,0.000002,0,0.000001
01:00.0,510.023774,8.467706,0.000025,0.000002,0,0.000001
02:00.0,509.126553,8.466758,0.000024,0.000002,0,0.000001
03:00.0,508.099873,8.465655,0.000022,0.000002,0,0.000001
04:00.0,506.965788,8.464417,0.000021,0.000002,0,0.000001
05:00.0,505.748771,8.463062,0.00002,0.000002,0,0.000001
06:00.0,504.474855,8.461607,0.000018,0.000002,0,0.000001
07:00.0,503.172058,8.460062,0.000017,0.000002,0,0.000001
08:00.0,501.872033,8.458441,0.000016,0.000002,0,0.000001
09:00.0,500.611627,8.456763,0.000015,0.000002,0,0.000001
10:00.0,499.432722,8.455058,0.000014,0.000002,0,0.000001
11:00.0,498.379086,8.45336,0.000014,0.000002,0,0.000001
12:00.0,497.489993,8.451696,0.000013,0.000002,0,0.000001
13:00.0,496.792472,8.450079,0.000013,0.000002,0,0.000001
14:00.0,496.296236,8.448509,0.000013,0.000002,0,0.000001
15:00.0,495.99434,8.446982,0.000013,0.000002,0,0.000001
16:00.0,495.868157,8.44551,0.000013,0.000002,0,0.000001
17:00.0,495.892647,8.444126,0.000013,0.000002,0.000001,0.000001
18:00.0,496.040087,8.442862,0.000013,0.000002,0.000001,0.000001
19:00.0,496.283088,8.441728,0.000012,0.000002,0.000001,0.000001
20:00.0,496.597555,8.440713,0.000012,0.000002,0.000001,0.000001
21:00.0,496.964655,8.4398,0.000012,0.000002,0.000001,0.000001
22:00.0,497.370661,8.438986,0.000012,0.000002,0,0.000001
23:00.0,497.804901,8.438287,0.000011,0.000002,0,0.000001
24:00.0,498.257532,8.437716,0.000011,0.000002,0,0.000001
25:00.0,498.718608,8.437273,0.00001,0.000002,0,0.000001
