Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
00:00.0,6773.483865,404.543811,5547.906,14400,0.166666667,0.000456308
01:00.0,6772.83551,403.201492,5547.11,14460,0.167361111,0.00045821
02:00.0,6772.171195,401.841271,5546.294,14520,0.168055556,0.000460111
03:00.0,6771.503111,400.499448,5545.473,14580,0.16875,0.000462012
04:00.0,6770.843818,399.217042,5544.663,14640,0.169444444,0.000463914
05:00.0,6770.206026,398.039035,5543.88,14700,0.170138889,0.000465815
06:00.0,6769.602085,397.011075,5543.138,14760,0.170833333,0.000467716
07:00.0,6769.043766,396.173461,5542.452,14820,0.171527778,0.000469617
08:00.0,6768.541988,395.552114,5541.836,14880,0.172222222,0.000471519
09:00.0,6768.105872,395.150369,5541.3,14940,0.172916667,0.00047342
10:00.0,6767.741853,394.94933,5540.853,15000,0.173611111,0.000475321
11:00.0,6767.454354,394.918077,5540.5,15060,0.174305556,0.000477223
12:00.0,6767.247855,395.025118,5540.247,15120,0.175,0.000479124
13:00.0,6767.127961,395.243323,5540.099,15180,0.175694444,0.000481025
14:00.0,6767.0996,395.548966,5540.065,15240,0.176388889,0.000482926
15:00.0,6767.163952,395.920017,5540.144,15300,0.177083333,0.000484828
16:00.0,6767.317523,396.336797,5540.332,15360,0.177777778,0.000486729
17:00.0,6767.554467,396.783817,5540.623,15420,0.178472222,0.00048863
18:00.0,6767.869443,397.25003,5541.01,15480,0.179166667,0.000490532
19:00.0,6768.257947,397.726747,5541.487,15540,0.179861111,0.000492433
20:00.0,6768.714353,398.205183,5542.048,15600,0.180555556,0.000494334
21:00.0,6769.230453,398.675768,5542.682,15660,0.18125,0.000496235
22:00.0,6769.796075,399.129075,5543.376,15720,0.181944444,0.000498137
23:00.0,6770.400578,399.556638,5544.119,15780,0.182638889,0.000500038
24:00.0,6771.033323,399.950646,5544.896,15840,0.183333333,0.000501939
25:00.0,6771.683101,400.303197,5545.694,15900,0.184027778,0.000503841
26:00.0,6772.33783,400.606179,5546.499,15960,0.184722222,0.000505742
27:00.0,6772.985178,400.851826,5547.294,16020,0.185416667,0.000507643
28:00.0,6773.613377,401.033123,5548.066,16080,0.186111111,0.000509544
29:00.0,6774.211399,401.143602,5548.8,16140,0.186805556,0.000511446
30:00.0,6774.768557,401.176863,5549.485,16200,0.1875,0.000513347
31:00.0,6775.274124,401.126372,5550.106,16260,0.188194444,0.000515248
32:00.0,6775.717464,400.985802,5550.651,16320,0.188888889,0.00051715
33:00.0,6776.088718,400.749854,5551.107,16380,0.189583333,0.000519051
34:00.0,6776.380045,400.41533,5551.465,16440,0.190277778,0.000520952
35:00.0,6776.586351,399.98159,5551.719,16500,0.190972222,0.000522853
36:00.0,6776.704992,399.45001,5551.864,16560,0.191666667,0.000524755
37:00.0,6776.734864,398.82316,5551.901,16620,0.192361111,0.000526656
38:00.0,6776.675971,398.97323,5551.829,16680,0.193055556,0.000528557
39:00.0,6776.530049,399.485591,5551.649,16740,0.19375,0.000530459
40:00.0,6776.301018,399.909489,5551.368,16800,0.194444444,0.00053236
41:00.0,6775.993863,400.246215,5550.991,16860,0.195138889,0.000534261
42:00.0,6775.612736,400.496646,5550.522,16920,0.195833333,0.000536162
43:00.0,6775.16084,400.660231,5549.967,16980,0.196527778,0.000538064
44:00.0,6774.643014,400.736601,5549.331,17040,0.197222222,0.000539965
45:00.0,6774.068443,400.728368,5548.625,17100,0.197916667,0.000541866
46:00.0,6773.450264,400.642023,5547.865,17160,0.198611111,0.000543768
47:00.0,6772.802299,400.485876,5547.069,17220,0.199305556,0.000545669
48:00.0,6772.136562,400.267392,5546.251,17280,0.2,0.00054757
49:00.0,6771.464062,399.99268,5545.425,17340,0.200694444,0.000549471
50:00.0,6770.797271,399.668182,5544.606,17400,0.201388889,0.000551373
51:00.0,6770.150836,399.30217,5543.812,17460,0.202083333,0.000553274
52:00.0,6769.539592,398.904348,5543.061,17520,0.202777778,0.000555175
53:00.0,6768.976196,398.484313,5542.369,17580,0.203472222,0.000557077
54:00.0,6768.470616,398.050684,5541.748,17640,0.204166667,0.000558978
55:00.0,6768.031125,397.611542,5541.209,17700,0.204861111,0.000560879
56:00.0,6767.665027,397.175362,5540.759,17760,0.205555556,0.00056278
57:00.0,6767.378257,396.751452,5540.407,17820,0.20625,0.000564682
58:00.0,6767.174527,396.349816,5540.157,17880,0.206944444,0.000566583
59:00.0,6767.054915,395.980867,5540.01,17940,0.207638889,0.000568484
00:00.0,6767.018359,395.655518,5539.965,18000,0.208333333,0.000570386
